id;states;gudang;created_at;updated_at
1;California;Gudang1;;
2;Nevada;Gudang1;;
3;Oregon;Gudang1;;
4;Arizona;Gudang1;;
5;New Mexico;Gudang1;;
6;Colorado;Gudang1;;
7;Utah;Gudang1;;
8;Idaho;Gudang1;;
9;Wyoming;Gudang1;;
10;Montana;Gudang1;;
11;North Dakota;Gudang1;;
12;South Dakota;Gudang1;;
13;Nebraska;Gudang1;;
14;Kansas;Gudang1;;
15;Oklahoma;Gudang1;;
16;Texas;Gudang1;;
17;Hawaii;Gudang1;;
18;Guam;Gudang1;;
19;Alaska;Gudang1;;
20;Tennessee;Gudang2;;
21;Kentucky;Gudang2;;
22;Missouri;Gudang2;;
23;Arkansas;Gudang2;;
24;Mississippi;Gudang2;;
25;Alabama;Gudang2;;
26;Georgia;Gudang2;;
27;Florida;Gudang2;;
28;South Carolina;Gudang2;;
29;North Carolina;Gudang2;;
30;Virginia;Gudang2;;
31;West Virginia;Gudang2;;
32;Maryland;Gudang2;;
33;Delaware;Gudang2;;
34;District of Columbia;Gudang2;;
35;Pennsylvania;Gudang2;;
36;Ohio;Gudang2;;
37;Indiana;Gudang2;;
38;Illinois;Gudang2;;
39;Wisconsin;Gudang2;;
40;Michigan;Gudang2;;
41;New York;Gudang2;;
42;Vermont;Gudang2;;
43;New Hampshire;Gudang2;;
44;Massachusetts;Gudang2;;
45;Rhode Island;Gudang2;;
46;Connecticut;Gudang2;;
47;Maine;Gudang2;;
48;New Jersey;Gudang2;;
49;Puerto Rico;Gudang2;;
50;US Virgin Islands;Gudang2;;
51;American Samoa;Gudang2;;
